VIVOSSPK01_R001|kh_as_ch s_aj_n
VIVOSSPK01_R002|ch_ir b_awf_ng c_as_ch l_uoo_n n_oox l_wj_c th_if c_uoois c_uf_ng b_aj_n m_owis dd_wowj_c dd_eef_n dd_as_p
VIVOSSPK01_R003|tr_o_ng s_oos c_as_c qw_oos_c z_a c_oo_ng ng_ieej_p ph_as_t tr_ieer_n
VIVOSSPK01_R004|a_nh dd_ax nh_if_n th_aays tr_o_ng nh_wx_ng l_ar_i nh_ar_i z_oo_ng z_aif c_uar nh_u
VIVOSSPK01_R005|kh_ur_ng h_oar_ng m_ooi tr_wowf_ng c_aaf_n dd_wowj_c ng_aw_n ch_awj_n
VIVOSSPK01_R006|tr_oo_ng th_aays t_auf c_as dd_awf_ng s_a a_nh dd_ax aas_n c_oif c_ar_nh b_aos
VIVOSSPK01_R007|m_aays s_aof z_uooj_ng c_uar z_a dd_if_nh oo_ng dd_af_nh b_or h_oa_ng ch_o c_or m_oj_c
VIVOSSPK01_R008|c_os dd_ee_m g_awj_p ph_ar_i h_eo n_oj_c n_os z_wowj_t
VIVOSSPK01_R009|c_as_c b_af_n h_oj_c nh_or h_awf_ng ng_ayf n_ay tr_owr th_af_nh b_af_n th_owf c_uar c_as_c ch_aus
VIVOSSPK01_R010|ch_a m_ej t_ooi th_wowf_ng ch_if ch_iees_t nh_au b_awf_ng nh_wx_ng l_owif l_ex kh_os ng_e
VIVOSSPK01_R011|h_aas_p z_aax_n nh_aas_t l_af c_uooj_c th_i b_owi th_uyeef_n tr_uyeef_n th_oos_ng
VIVOSSPK01_R012|v_owis nh_wx_ng c_owf l_is_p nh_aj_c tr_uyeef_n h_if_nh
VIVOSSPK01_R013|m_ooj_t tr_o_ng nh_wx_ng c_as_ch t_oos_t nh_aas_t
VIVOSSPK01_R014|aw_n c_aws_p ph_oox_ng t_wowj_ng
VIVOSSPK01_R015|t_owis v_oox v_ai h_oir v_eef ch_iees_c aos m_owis m_ua
VIVOSSPK01_R016|b_aof ch_ees nh_wx_ng l_oaij th_uoos_c ch_wax ng_ieej_n m_a t_uis
VIVOSSPK01_R017|nh_wx_ng m_ais ng_ois aa_m z_wow_ng c_oor c_is_nh
VIVOSSPK01_R018|m_awj_t m_uix n_os c_of_n c_auf c_auj
VIVOSSPK01_R019|n_aws_ng dd_aof l_af_m wr_ng h_oof_ng nh_wx_ng dd_ooi m_as th_ieeus n_wx h_af th_af_nh
VIVOSSPK01_R020|ch_iees_c oor th_wowf_ng s_uyee_n dd_wowj_c kh_oas ch_awj_t v_aof b_af_n
VIVOSSPK01_R021|l_af_m t_os_c c_ieeur n_ayf tr_oo_ng b_aj_n qw_is ph_ais m_ooj_t c_as_ch t_wj nh_iee_n
VIVOSSPK01_R022|dd_oof_ng ng_ieej_p t_aay b_aor nh_aj_c c_uar t_ooi ch_ir th_oas_ng ng_e
VIVOSSPK01_R023|dd_aau l_af t_if_nh i_eeu dd_is_ch th_wj_c
VIVOSSPK01_R024|c_ux_ng s_ex g_awj_p kh_os kh_aw_n v_if kh_oo_ng c_os h_if_nh ar_nh dd_eer dd_oois ch_ieeus
VIVOSSPK01_R025|t_ay c_aaf_m m_ooj_t c_oj_c t_ieef_n dd_ees_m s_oef_n s_oej_t dd_wa ch_o ch_a m_ej c_oo z_aau
VIVOSSPK01_R026|tr_o_ng n_ieef_m ph_aas_n kh_owir c_uar b_af c_o_n ng_w z_aa_n
VIVOSSPK01_R027|b_aws_t dd_aauf l_oj_c c_oj_c t_iees_ng z_uif dd_uj_c c_uar th_owj m_ooj_c
VIVOSSPK01_R028|v_ieej_c th_iees_t l_aaj_p t_oos_c dd_ooj nh_ays ch_uooj_t
VIVOSSPK01_R029|c_ees_t l_uaaj_n tr_ee_n dd_ax ch_o th_aays
VIVOSSPK01_R030|l_awj_n ng_uj_p v_e_n h_oof t_aay dd_eer c_iees_m s_oos_ng
VIVOSSPK01_R031|ch_us_ng t_ooi c_ws l_e_n l_es_n nh_if_n v_af ch_awr_ng th_aays ng_wowj_ng ng_aaj_p
VIVOSSPK01_R032|c_uar ng_wowif m_ej dd_a_ng ph_ar_i c_aaf_m h_owi b_awf_ng l_as c_aay
VIVOSSPK01_R033|h_u_n dd_us_c n_ee_n t_i_nh th_aaf_n th_i dd_aaus qw_ar c_ar_m v_owis dd_oof_ng th_as_p
VIVOSSPK01_R034|kh_oo_ng z_ef l_aaf_n l_ee_n c_oi th_wr
VIVOSSPK01_R035|n_ee_n v_ieej_c ph_as z_wf_ng dd_oos_t th_a_n ng_ayf c_af_ng tr_owr n_ee_n b_ws_c s_us_c
VIVOSSPK01_R036|owr dd_owif ph_af_m c_ais g_if dd_us_ng th_owif c_ow m_owis dd_aj_t h_ieeuj qw_ar
VIVOSSPK01_R037|c_of_n c_os t_as_c z_uj_ng
VIVOSSPK01_R038|z_aaus h_ieeuj z_ui nh_aas_t dd_eer nh_aaj_n z_a kh_o l_uas v_ix_nh th_af_nh
VIVOSSPK01_R039|nh_w_ng z_ooif c_ux_ng kh_oor s_owr dd_ees_n z_wowf_ng n_aof
VIVOSSPK01_R040|z_as c_ar th_uooj_c z_aj_ng v_oo c_uf_ng l_ee_n b_oor_ng s_uoos_ng tr_aaf_m t_ej_p nh_ej_p
VIVOSSPK01_R041|n_wx th_aaf_n t_wj z_o v_owis b_af_n t_ay c_aaf_m dd_uoos_c
VIVOSSPK01_R042|nh_wx_ng c_o_n s_aau tr_us_ng th_uoos_c z_owi s_uoos_ng z_ayx z_uaj
VIVOSSPK01_R043|v_waf dd_i v_waf c_a ng_eeu ng_ao
VIVOSSPK01_R044|z_wowis dd_ays b_ieer_n
VIVOSSPK01_R045|nh_wx_ng s_owij b_us_n dd_wowj_c c_uooj_n th_af_nh z_aay ch_aox
VIVOSSPK01_R046|kh_oa_nh tr_of_n tr_ee_n t_aas_m l_as ch_uoois
VIVOSSPK01_R047|z_owi v_aof c_ar_nh dd_iuf h_iu b_owir z_u kh_as_ch th_wa th_ows_t
VIVOSSPK01_R048|s_au dd_os nh_wx_ng ng_wowif n_ayf dd_wowj_c tr_aws_c ng_ieej_m kh_ar n_aw_ng g_h_i nh_ows
VIVOSSPK01_R049|m_uoos_n s_af_nh dd_ieeuj ng_uyee_n c_o_n
VIVOSSPK01_R050|v_owis nh_wx_ng tr_af_ng ph_aos t_ay v_af t_iees_ng tr_aaf_m tr_oof t_as_n th_wowr_ng kh_oo_ng ng_ows_t
VIVOSSPK01_R051|h_i v_oj_ng owr l_aaf_n s_i_nh nh_aaj_t s_au
VIVOSSPK01_R052|th_eo l_uaaj_t nh_aa_n qw_ar m_af g_aaf_n dd_aay kh_oa h_oj_c dd_ax ch_ws_ng m_i_nh dd_wowj_c
VIVOSSPK01_R053|oo_ng l_wows_t nh_ej ng_os_n t_ay g_aayf g_uooj_c tr_ee_n nh_wx_ng c_o_n ch_wx
VIVOSSPK01_R054|ph_ar_i z_wf_ng m_ays t_auf v_af l_awj_n s_uoos_ng b_ieer_n z_uf_ng z_ao m_af c_aws_t
VIVOSSPK01_R055|v_af m_ooj_t nh_os_m ng_wowif dd_a_ng h_is h_uis qw_ay ph_i_m
VIVOSSPK01_R056|h_ai b_af_n ch_aa_n t_is s_ius c_ia m_owis dd_wa dd_wowj_c c_as_c e_m v_eef t_owis nh_af
VIVOSSPK01_R057|ch_ayr nh_aox z_wowis n_aws_ng
VIVOSSPK01_R058|t_ooi s_i_n ph_es_p z_a ng_oaif v_ij z_as_m th_ij tr_er s_awx_ng z_oj_ng
VIVOSSPK01_R059|nh_w_ng th_wj_c z_a c_os th_eer kh_oo_ng ph_ar_i l_af nh_w v_aayj
VIVOSSPK01_R060|z_as_c z_aos z_as_c t_if_m z_us_p v_ieej_c s_au t_ees_t
VIVOSSPK01_R061|n_ee_n dd_awj_t b_us_t c_is h_owj_p dd_oof_ng ch_o th_uee v_owis z_as b_eof
VIVOSSPK01_R062|t_ooi kh_oo_ng s_owj c_o_n dd_wowf_ng z_awf_ng z_awj_c t_wf th_ij th_af_nh
VIVOSSPK01_R063|m_ooj_t ng_wowif g_as_nh n_wows_c z_wowis kh_e s_uoois l_ee_n
VIVOSSPK01_R064|s_af_ng s_ayr th_os_c ng_ay ng_ox g_aj_ch
VIVOSSPK01_R065|ng_ay c_ar n_eef_n s_ar_n s_uaas_t h_ieej_n dd_aij nh_w m_ix
VIVOSSPK01_R066|v_eef h_af_nh v_i tr_uyeef_n b_as v_aw_n h_oas ph_aar_m dd_ooif tr_uij kh_oo_ng ng_uoof_n g_oos_c
VIVOSSPK01_R067|c_os th_eer dd_aay l_af c_ais c_aj_m b_aayx ph_as h_oaij c_uar b_oj_n ph_ar_n dd_ooj_ng
VIVOSSPK01_R068|n_eeus t_aaj_p tr_u_ng t_aij tr_u_ng t_aa_m h_uaas_n l_uyeej_n th_eer th_ao qw_oos_c z_a i nh_oor_n
VIVOSSPK01_R069|ch_iees_n kh_u z_wf_ng s_as_c l_af m_ooj_t v_uf_ng dd_aaf_m l_aayf n_wows_c m_awj_n
VIVOSSPK01_R070|kh_iees_n ch_iees_c th_uyeef_n tr_of_ng tr_af_nh z_ooif l_aaj_t nh_aof
VIVOSSPK01_R071|c_os th_eer ch_o is_t n_wows_c m_uoois v_aof l_of_ng b_af_n t_ay
VIVOSSPK01_R072|t_ooi t_if_nh c_owf ph_as_t h_ieej_n kh_ar n_aw_ng h_us_t th_iaf m_uoox_ng
VIVOSSPK01_R073|kh_i c_ar h_ai v_waf ch_iees_n th_aws_ng ng_oaj_n m_uj_c
VIVOSSPK01_R074|t_ooi dd_ax tr_ar_i qw_a z_aay ph_us_t nh_ieex_m s_es_t nh_w th_ees
