VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK01_R002|c_i_4 b_ă_ŋ_2 k_ɛ_k_5b l_uə_n_1 n_o_3 l_ɯ_k_6b tʰ_i_2 k_uə_j_5 k_u_ŋ_2 b_a_n_6 m_ɤ_j_5 d_ɯə_k_6b d_e_n_2 d_a_p_5b
VIVOSSPK01_R003|c_ɔ_ŋ͡m_1 s_o_5 k_a_k_5b kw_o_k͡p_5b z_a_1 k_o_ŋ͡m_1 ŋ_iə_p_6b f_a_t_5b c_iə_n_4
VIVOSSPK01_R004|ɛ_ŋ_1 d_a_3 ɲ_i_n_2 tʰ_ɤ̆_j_5 c_ɔ_ŋ͡m_1 ɲ_ɯ_ŋ_3 l_a_j_4 ɲ_a_j_4 z_o_ŋ͡m_1 z_a_j_2 k_uə_4 ɲ_u_1
VIVOSSPK01_R005|x_u_ŋ_4 h_w_a_ŋ_4 m_o_j_1 c_ɯə_ŋ_2 k_ɤ̆_n_2 d_ɯə_k_6b ŋ_ă_n_1 c_ă_n_6
VIVOSSPK01_R006|c_o_ŋ͡m_1 tʰ_ɤ̆_j_5 t_ă_w_2 k_a_5 d_ă_ŋ_2 s_a_1 ɛ_ŋ_1 d_a_3 ɤ̆_n_5 k_ɔ_j_2 k_ɛ_ŋ_4 b_a_w_5
VIVOSSPK01_R007|m_ɤ̆_j_5 s_a_w_2 z_uə_ŋ_6 k_uə_4 z_a_1 d_i_ŋ_2 o_ŋ͡m_1 d_ɛ_ŋ_2 b_ɔ_4 h_w_a_ŋ_1 c_ɔ_1 k_ɔ_4 m_ɔ_k͡p_6b
VIVOSSPK01_R008|k_ɔ_5 d_e_m_1 ɣ_ă_p_6b f_a_j_4 h_eo_1 n_ɔ_k͡p_6b n_ɔ_5 z_ɯə_t_6b
VIVOSSPK01_R009|k_a_k_5b b_a_n_2 h_ɔ_k͡p_6b ɲ_ɔ_4 h_ă_ŋ_2 ŋ_ă_j_2 n_ă_j_1 c_ɤ_4 tʰ_ɛ_ŋ_2 b_a_n_2 tʰ_ɤ_2 k_uə_4 k_a_k_5b c_ă_w_5
VIVOSSPK01_R010|c_a_1 m_ɛ_6 t_o_j_1 tʰ_ɯə_ŋ_2 c_i_2 c_iə_t_5b ɲ_ă_w_1 b_ă_ŋ_2 ɲ_ɯ_ŋ_3 l_ɤ_j_2 l_ɛ_3 x_ɔ_5 ŋ_ɛ_1
VIVOSSPK01_R011|h_ɤ̆_p_5b z_ɤ̆_n_3 ɲ_ɤ̆_t_5b l_a_2 k_uə_k_6b tʰ_i_1 b_ɤ_j_1 tʰ_w_iə_n_2 c_w_iə_n_2 tʰ_o_ŋ͡m_5
VIVOSSPK01_R012|v_ɤ_j_5 ɲ_ɯ_ŋ_3 k_ɤ_2 l_i_p_5b ɲ_a_k_6b c_w_iə_n_2 h_i_ŋ_2
VIVOSSPK01_R013|m_o_t_6b c_ɔ_ŋ͡m_1 ɲ_ɯ_ŋ_3 k_ɛ_k_5b t_o_t_5b ɲ_ɤ̆_t_5b
VIVOSSPK01_R014|ă_n_1 k_ă_p_5b f_o_ŋ͡m_3 t_ɯə_ŋ_6
VIVOSSPK01_R015|t_ɤ_j_5 v_o_3 v_a_j_1 h_ɔ_j_4 v_e_2 c_iə_k_5b a_w_5 m_ɤ_j_5 m_uə_1
VIVOSSPK01_R016|b_a_w_2 c_e_5 ɲ_ɯ_ŋ_3 l_w_a_j_6 tʰ_uə_k_5b c_ɯə_3 ŋ_iə_n_6 m_a_1 t_u_j_5
VIVOSSPK01_R017|ɲ_ɯ_ŋ_3 m_a_j_5 ŋ_ɔ_j_5 ɤ̆_m_1 z_ɯə_ŋ_1 k_o_4 k_i_ŋ_5
VIVOSSPK01_R018|m_ă_t_6b m_u_j_3 n_ɔ_5 k_ɔ_n_2 k_ă_w_2 k_ă_w_6
VIVOSSPK01_R019|n_ă_ŋ_5 d_a_w_2 l_a_m_2 ɯ_ŋ_4 h_o_ŋ͡m_2 ɲ_ɯ_ŋ_3 d_o_j_1 m_a_5 tʰ_iə_w_5 n_ɯ_3 h_a_2 tʰ_ɛ_ŋ_2
VIVOSSPK01_R020|c_iə_k_5b o_4 tʰ_ɯə_ŋ_2 s_w_iə_n_1 d_ɯə_k_6b x_w_a_5 c_ă_t_6b v_a_w_2 b_a_n_2
VIVOSSPK01_R021|l_a_m_2 t_ɔ_k͡p_5b k_iə_w_4 n_ă_j_2 c_o_ŋ͡m_1 b_a_n_6 kw_i_5 f_a_j_5 m_o_t_6b k_ɛ_k_5b t_ɯ_6 ɲ_iə_n_1
VIVOSSPK01_R022|d_o_ŋ͡m_2 ŋ_iə_p_6b t_ɤ̆_j_1 b_a_w_4 ɲ_a_k_6b k_uə_4 t_o_j_1 c_i_4 tʰ_w_a_ŋ_5 ŋ_ɛ_1
