/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_06_line_00046.wav(41.46341463414634%)|long ôm choàng lấy mịch lôi mịch ngồi xuống giường|long ôm choàng lấy mịch lôi mịch mới xuống giường 
tts_lines_part_06_line_00059.wav(119.76744186046511%)|ngọn đồi ở ấp tiểu vạn trường thành lúc ấy sáng lấp lánh vì ánh nắng chiều còn tụ lại trên những ngọn lá cà phê|món đối ở tiểu vạn trường thành lúc ấy sáng lấp lánh vì ánh nắng chiều còn tụ lại trên những ngọn lá cà phê    
tts_lines_part_06_line_00061.wav(42.15686274509804%)|chung quanh trời đất mở ra một vùng phong cảnh ngoạn mục nào đồi nào làng mạc nào ruộng nương trùng trùng điệp điệp kế tiếp nhau|chung quanh trời đất mở ra một vùng phong cảnh ngoạn mục nào đồi nào làng mạc nào dù nương trùng trùng địa điệp kế tiếp nhau    
tts_lines_part_06_line_00064.wav(53.68421052631579%)|người bạn già có ý ngắm nghía phong cảnh tìm kiếm mạch đất còn nghị hách thì chỉ im lặng nghe ngón một cách chăm chú thôi|người bạn già có ý ngắm nghía phong cảnh tìm kiếm mạch đất còn lý hết thì chỉ im lặng nghe ngón một cách chăm chú thôi   
tts_lines_part_06_line_00070.wav(96.34146341463415%)|chung quanh sinh phần chi chít những cây thông xoan ngô đồng phi lao mọc hỗn loạn như ở một cái rừng con |chung quanh sinh phần chỉ trích những cây thông xoan ngô đồng phi lao mọc hỗn loạn như ở một cái rừng con
tts_lines_part_06_line_00071.wav(41.732283464566926%)|tuy vậy sinh phần vẫn nhoi lên trên đám lá xanh rậm rạp ấy nổi bật hẳn ra như một khối kim cương có trăm nghìn thứ ánh sáng thật là đồ sộ thật là cao cả thật là vĩ đại|vì vậy sinh phần vẫn nhoi lên trên đám lá xanh giảm giá ấy nổi bật hẳn ra như một khối kim cương có trăm nghìn thứ ánh sáng thật là đồ sộ thật là cao cả thật là vĩ đại
tts_lines_part_06_line_00077.wav(128.2051282051282%)|riêng tiền đá cũng có bảy tám nghìn bạc rồi ấy là chưa kể mấy tháng lương của hơn chục thợ gọi từ bên tàu sang do ông bang trưởng hải phòng kiếm hộ cho|dinh tiền đá cũng có bảy tám nghìn bạc rồi ấy là chưa kể mấy tháng lương của hơn chục thợ gọi từ bên tàu sang do ông bang trưởng hải phòng kiếm hộ cho 
tts_lines_part_06_line_00084.wav(89.28571428571429%)|nó để sai huyệt thế này cũng là phải|nó để sai vệ thế này cũng là phải   
tts_lines_part_06_line_00086.wav(51.61290322580645%)|như vậy thì một nghìn là ít ỏi quá chăng|như vậy thì một nghìn lại tại quá chăng 
tts_lines_part_06_line_00088.wav(40.0%)|chính thế nếu nó để đúng huyệt cho thì quan bác đã phất đến có thể đem của riêng ra cũng tậu được cả xứ lào rồi|chính thế nếu nó để đúng huyệt cho thì quan bác đã phất đến có thể đem của diễn ra cũng tậu được cả xứ lào rồi 
tts_lines_part_06_line_00089.wav(105.0314465408805%)|nhưng mà thôi cũng chẳng nên phàn nàn vì quân tàu vốn khoảnh độc bao nhiêu mạch đất phát vương hầu xưa nay hễ thấy là đều yểm đi cả vậy mà anh thầy này còn để cho quan bác như thế này thế đã tử tế lắm rồi đấy|nhưng mà thôi cũng chẳng nên phàn nàn vì con tàu vốn khoảnh độc bao nhiêu mạch đất phát vương hầu xưa nay hễ thấy là đều yểm đi cả vậy mà anh chờ này còn để cho quan bác như thế này thế đã tử tế lắm rồi đấy  
tts_lines_part_06_line_00103.wav(52.94117647058824%)|ông già bảo nghị hách|ông già bảo bị hết   
tts_lines_part_06_line_00109.wav(28.000000000000004%)|nghị hách bảo nó bắc vào sinh phần rồi hai người lổm ngổm bò lên|nghị hách bảo nó bắc vào sinh phần rồi hai người là món bỏ lên  
tts_lines_part_06_line_00128.wav(120.0%)|mạch đất thìn tuất long thế kia là còn thô lắm chưa được nhuyễn|mạc đất thìn tuất long thế kia là còn thô lắm chưa được nhuyễn 
tts_lines_part_06_line_00133.wav(22.916666666666664%)|đặt sinh phần ngay chỗ này thì ra vượng tay long mà lại mất tay hổ con giai thì ăn thua mà con gái thì truỵ lạc hoặc chết non|đặt sinh phần ngay chỗ này thì ra vượng tay long mà lại mất tay hổ con giai thì ăn thua mà con gái thì chỉ lạc hoặc chết non 
tts_lines_part_06_line_00137.wav(106.41025641025641%)|người bạn cũ kéo nghị hách ra phía kia sinh phần rồi trỏ tay ra xa chỗ lương khoai cạnh một cái lạch|người bạn cũ kéo bị hách ra phía kia sinh phần rồi trỏ tay ra xa chỗ lương khoai cạnh một cái lạch  
tts_lines_part_06_line_00143.wav(100.0%)|bẩm vâng|bà vân  
tts_lines_part_06_line_00147.wav(75.0%)|vâng vâng|vân vân  
tts_lines_part_06_line_00148.wav(121.00840336134453%)|đất ấy mạch theo kiền hợi thủy tụ nhiều có bút ở phương tốn lại có thổ tác án nó theo sách là hợp cách thủy loan bão kể đã là đất tốt lắm vì lẽ phát đại thần|đất ấy mà theo kiền hợi thủy tụ nhiều có bút ở phương tốn lại có thổ tác án nó theo sách là hợp cách thủy loan bão kể đã là đất tốt lắm vì lẽ phát đại thần  
tts_lines_part_06_line_00158.wav(50.0%)|thế bác quá bộ ra đây  |thế bác quá bộ gia đình
tts_lines_part_06_line_00159.wav(42.5%)|nghị hách lại đi theo bạn ra phía kia nóc sinh phần |nghị hách lại đi theo bạn ra phía tiền nóc sinh phần
tts_lines_part_06_line_00176.wav(38.028169014084504%)|vậy nội trong năm nay phải bốc đi kẻo tôi ngờ cái nạn nga my lắc oán sẽ xảy ra đến nơi rồi đấy     |vậy nội trong năm nay phải bốc đi kẻo tôi ngờ cái nạn nga my lắc của anh sẽ xảy ra đến nơi rồi đánh
tts_lines_part_06_line_00187.wav(124.24242424242425%)|nghe đến đấy nghị hách tươi tỉnh ngay lên|mà đến đấy nghị hách tươi tỉnh ngay lên  
tts_lines_part_06_line_00188.wav(52.38095238095239%)|rồi cười khà khà bắt tay ông bạn cũ một cái sau khi nói |rồi cười khà khà bắt tay ông bạn của một cái sau khi nói
tts_lines_part_06_line_00193.wav(26.38888888888889%)|đệ phải thù tạc tiên sinh vào bậc thượng khách thì mới khỏi phụ tấm ơn tri ngộ của tiên sinh|đệ phải thù tạc tiên sinh vào bậc thượng khách thì mới khỏi phụ tấm ơn chi bộ của tiên sinh 
tts_lines_part_06_line_00196.wav(132.25806451612902%)|quan bác ạ tôi ở đây với quan bác còn lâu|con bác ạ tôi ở đây với quan bác còn lâu 
tts_lines_part_06_line_00213.wav(128.26086956521738%)|quan bác đã có cái chí kinh thiên động địa rồi thì khi nào tưởng được trong đời có kẻ sống một cách phiếm lãng như tôi|con bác đã có cái chí kinh thiên động địa rồi thì khi nào tưởng được trong đời có kẻ sống một cách phiếm lãng như tôi 
tts_lines_part_06_line_00220.wav(125.0%)|quan bác nói đúng giờ lắm|con bác nói đúng giờ lắm 
tts_lines_part_06_line_00232.wav(106.66666666666667%)|ông già nhìn chòng chọc nghị hách nói|ông ra nhìn trong trong mỹ hách nói  
tts_lines_part_06_line_00235.wav(37.11340206185567%)|đến năm kỷ mùi tức là năm một ngàn chín trăm mười chín năm quan bác đúng ba mươi tuổi thì quan bác giàu có rồi đã bắt đầu hiếp|đến năm kỷ mùi tức là năm một ngàn chín trăm mười chín năm quan bác đúng ba mươi tuổi thì con bác giàu có rồi đã bắt đầu hiếp 
tts_lines_part_06_line_00239.wav(107.40740740740742%)|hai mạng người đã chết vì quan bác|hai mà người đã chết vì quan bác  
tts_lines_part_06_line_00240.wav(27.559055118110237%)|lại đến hai năm sau nữa tức là năm giáp tý một ngàn chín trăm hai mươi bốn thì quan bác lừa người được mấy chục vạn và đồng thời xuýt nữa quan bác chết hụt thì phải|lại đến hai năm sau nữa tức là năm giáp tý một ngàn chín trăm hai mươi bốn thì quan bác lừa người được mấy chục vạn và đồng thời kết nữa quan bác chết hụt thì phải 
tts_lines_part_06_line_00256.wav(100.0%)|thưa tiên sinh|thế tiên sinh 
tts_lines_part_06_line_00281.wav(61.702127659574465%)|khi đi ngang qua chợ đồng xuân long đã thoáng nom thấy ông đồ uẩn ngồi vắt vẻo trên chiếc xe nhà mà tú anh đã tậu cho mịch|khi đi ngang qua chợ đồng xuân long đã thoáng nom thấy ông đồ gàn mối vắt vẻo trên chiếc xe nhà mà tú anh đã tậu cho mình 
tts_lines_part_06_line_00291.wav(37.5%)|ông đồ uẩn|ông đồ    
tts_lines_part_06_line_00301.wav(83.57487922705315%)|mỗi khi đem cái cảnh mịch còn là cô gái quê lúi húi vớt bèo mà so với cảnh mịch đã là vợ lẽ một anh trọc phú quần là áo lượt bệ vệ ngồi trên cái sập gụ khảm mà cất cao giọng đài các xỉ vả đầy tớ thì long không biết rằng cuộc đời có còn là cuộc đời không hay là long đã ngủ mê|mỗi khi đem cái cảnh mịch còn là cô gái quê lúi húi vớt bèo mà so với cảnh mịch đã là vợ lẽ một anh cho phú quần là áo lượt bệ vệ ngồi trên cái sập gụ khảm mà cất cao dòng đài các xỉ vả đầy tớ thì long không biết rằng cuộc đời có còn là cuộc đời không hay là long đã bù mì   
tts_lines_part_06_line_00313.wav(78.4090909090909%)|ngày nay long cũng đã hóa ra người ích kỷ khốn nạn người thuộc vào cái hạng mà chính long đã rất khinh bỉ xưa kia|ngày nay long cũng đã hóa ra người kỷ khốn nạn người thuộc vào cái hạng mà chính long đã rất khinh bỉ xưa kia    
tts_lines_part_06_line_00319.wav(74.57627118644068%)|những phút nghĩ ngợi như thế là những phút mà cái linh trí bất thần đến với long để giúp chàng suy mình ra mọi người để định lấy một phương châm xử thế|những phút nghĩ ngợi như thế là những phút mà cái linh trí bất hẳn đến với long để giúp chàng suy mình ra mọi người để định lấy một phương châm xử thế 
tts_lines_part_06_line_00339.wav(128.57142857142858%)|tuy nghĩ thế chàng vẫn bước chân đi  |người nghĩ thế chàng vẫn bước chân đi
tts_lines_part_06_line_00371.wav(39.130434782608695%)|anh có đi tìm ông già ấy không |anh có đi tìm ông già anh không
tts_lines_part_06_line_00373.wav(62.5%)|lạ lắm nhỉ|là làm gì 
tts_lines_part_06_line_00402.wav(127.27272727272727%)|nghĩ thế nào cũng là có lý cả|như thế nào cũng là có lý cả 
tts_lines_part_06_line_00404.wav(125.0%)|mặc quách sự đời muốn ra sao thì ra nghĩ cũng vô ích|mà quách sự đời muốn ra sao thì ra nghĩ cũng vô     
tts_lines_part_06_line_00406.wav(43.47826086956522%)|mình có nói cho tú anh biết rõ câu chuyện quái lại ấy không    |mình có nói cho tú anh biết rõ câu chuyện của anh lại anh không
tts_lines_part_06_line_00412.wav(97.61904761904762%)|long quay về ngồi chỗ cũ hồi lâu lại cười nhạt mà rằng|long quay về mỗi chỗ cũ hồi lâu lại cười nhạt mà rằng 
tts_lines_part_06_line_00414.wav(119.04761904761905%)|mịch cau mày giận giỗi nói|một câu này dẫn rồi nói   
tts_lines_part_06_line_00418.wav(33.33333333333333%)|sao|sau
tts_lines_part_06_line_00423.wav(41.6%)|tôi muốn nói thẳng ngay rằng đã xử với nhau đến như chúng ta rồi thì thế là hết phương cứu chữa thì thà rằng cắt đứt những mối tơ vương đi vì tử tế đãi hậu là vô bổ |tôi muốn nói thẳng ngay rằng đã xử với nhau đến như chúng ta rồi thì thế là hết phương cứu chữa thì thà rằng cắt nước những mối tơ vương đi vì tử tế đãi hậu là vô bổ
tts_lines_part_06_line_00427.wav(22.727272727272727%)|thật đấy mịch ạ thật thế đấy|thật đấy mới cả thật thế đấy
tts_lines_part_06_line_00428.wav(88.9908256880734%)|tôi đã bắt đầu thấy rằng cái cuộc ái ân vụng trộm này đã hạ tôi vào hạng những kẻ thất phu vô học những kẻ mất nhân cách những kẻ vô lương tâm|tôi đã bắt đầu thấy rằng cái cuộc ái ân vụng chỗ này đã hạ tôi vào hạng những kẻ thất phu vô học những kẻ mất nhân cách những kẻ vô lương tâm 
tts_lines_part_06_line_00433.wav(127.6190476190476%)|mịch thấy rằng long xưa kia đã cố chí phụ mình thì ngày nay mới không muốn theo đuổi cuộc trả thù nghị hách nữa mới sợ hãi muốn giữ gìn|mới thấy rằng long xưa kia đã cố chí phụ mình thì ngày nay mới không muốn theo đuổi cuộc trả thù nghị hách nữa mới sợ hãi muốn giữ gìn 
tts_lines_part_06_line_00435.wav(109.09090909090908%)|mịch cười gằn|mấy cười gần 
tts_lines_part_06_line_00439.wav(116.66666666666667%)|mịch ơi |mày chơi
tts_lines_part_06_line_00440.wav(50.0%)|mịch|mình
tts_lines_part_06_line_00448.wav(50.625%)|ngẫu nhiên mịch nhớ lại tất cả mọi chuyện cũ và ngờ vực ngay rằng chính long đã phụ mịch một cách hoàn toàn đầy đủ và đã phải giả vờ hờn giận để buộc tội mịch thì là long đã gỡ được những tội phụ bạc của long|ngẫu nhiên mịch nhớ lại tất cả mọi chuyện cũ và ngờ vực ngay rằng chính long đã phụ mịch một cách hoàn toàn đầy đủ và đã phải ra và hơn dẫn để buộc tội mịch thì là long đã gỡ được những tội phụ bạc của long  
tts_lines_part_06_line_00515.wav(126.3157894736842%)|vắng người đàn bà thế mà|mà người đàn bà thế mà  
tts_lines_part_06_line_00527.wav(50.0%)|chết|chị 
tts_lines_part_06_line_00534.wav(52.0%)|nếu thế thì đây mua thuốc ty hơn|nếu thế thì đây mỗi tóc thì hơn 
tts_lines_part_06_line_00542.wav(83.33333333333334%)|con chả dám thế |con trả giảm thế
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00550.wav
tts_lines_part_06_line_00551.wav(33.33333333333333%)|hay|hai
tts_lines_part_06_line_00552.wav(33.33333333333333%)|hay|hai
tts_lines_part_06_line_00563.wav(75.0%)|hắn để cho đầu nhọn viên xái chổng ngược lên méo xệch mồm ra cười mà nói rằng|hắn để cho đầu nhọn viên xái cho ngược lên méo xệch mồm ra cười mà nói rằng  
tts_lines_part_06_line_00565.wav(57.14285714285714%)|thế kia à|thế thì  
tts_lines_part_06_line_00570.wav(80.0%)|lạ nhỉ|là vì 
tts_lines_part_06_line_00571.wav(116.27906976744187%)|vỏ mía rắn thế mà sao viên xái lại đâm xuyên vào thế nhỉ |vỏ mía gián thế mà sao viên xái lại đâm xuyên vào thế nhỉ
tts_lines_part_06_line_00575.wav(42.857142857142854%)|có lẽ thế  |có lẽ thiện
tts_lines_part_06_line_00582.wav(43.75%)|giời cao đất giày ơi|giời cao đất dày ơi 
tts_lines_part_06_line_00584.wav(28.000000000000004%)|bố bảo lại không hao cơm tốn áo à   |bố bảo lại không hao cơm tốn đào hoa
tts_lines_part_06_line_00594.wav(93.10344827586206%)|tiếng phu xe phu khuân đồ xếp khách bộ hành hoặc quát tháo lẫn nhau rầm rĩ|tiếng phu xe phu gôn đồ sứ khách bộ hành hoặc quát tháo lẫn nhau giảm dĩ  
tts_lines_part_06_line_00601.wav(110.16949152542372%)|ông già sắp ngủ thì bị lời chửi của vạn tóc mai làm cho phải mở choàng mắt ra|ông già sắp mù thì bị lợi chữ của vạn tóc mai làm cho phải mở choàng mắt ra  
tts_lines_part_06_line_00604.wav(47.05882352941176%)|rồi vạn tóc mai nằm xuống ngoáy ngoáy tiêm|rồi vạn tóc mai nằm xuống quay ngoáy tiêm 
tts_lines_part_06_line_00623.wav(101.19047619047619%)|vả lại mang tiếng là con cụ nghị hách tiếng giàu lừng lẫy cả nước mà lại có mỗi một cái nhà thế là nghĩa lý gì|và lại mang tiếng là con của bị hách tiếng giàu lừng lẫy cả nước mà lại có mỗi một cái nhà thế là nghĩa lý gì 
tts_lines_part_06_line_00642.wav(90.2439024390244%)|một đằng thì nghiện hút nghèo đói chạy từng đồng xu|một đằng thì nhận hút nghèo đói chạy từng đồng xu  
tts_lines_part_06_line_00649.wav(78.57142857142857%)|âu cũng là duyên nợ gì đấy nhỉ bố nhỉ|âu cũng là dư nợ gì đấy nhỉ bố nhỉ   
tts_lines_part_06_line_00659.wav(54.621848739495796%)|nếu bây giờ bố chịu ở đây mở ngôi hàng xem số cho thiên hạ thì mấy anh thày tàu những anh thần cốc tử những anh quỷ cốc tử chẳng hạn là cứ chết nhăn răng ra|nếu bây giờ bố chịu ở đây mở ngôi hàng xem số cho thiên hạ thì mấy anh thày tàu những anh cần có tử những anh quỷ cốc tử chẳng hạn là cứ chết nhăn giảm ra  
tts_lines_part_06_line_00666.wav(33.33333333333333%)|hay|hai
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00670.wav
tts_lines_part_06_line_00671.wav(63.1578947368421%)|thế thì hả quá hả quá bố ạ    |thế thì hả quá hết hả quá bố ạ
tts_lines_part_06_line_00678.wav(120.0%)|thấm vào đâu|cắm vào đâu 
tts_lines_part_06_line_00702.wav(114.35897435897435%)|bởi thế cho nên cậu tú anh mà buộc cụ nghị gả con cho cậu long thì chỉ là vì muốn tránh cho cụ nghị cái tiếng giàu lỏi học làm sang chỉ là vì muốn cụ nghị được tiếng là có óc bình dân chứ không phải cứ muốn làm thông gia với nhà quan mà thôi cậu hiểu chưa|bởi thế cho nên cậu tú anh mà bộ của nghỉ gà con cho cậu long thì chỉ là vì muốn tránh cho cụ nghị cái tiếng giàu lỏi học làm sang chỉ là vì muốn cụ nghị được tiếng là có óc bình dân chứ không phải cứ muốn làm thông gia với nhà quan mà thôi cậu hiểu chưa 
tts_lines_part_06_line_00704.wav(64.0%)|nhưng mà không nên vì thế mà chưa chi đã để cho thằng cha rể phá của để nó lôi em tôi đi đâu cũng đi  |nhưng mà không nên vì thế mà chưa chi đã để cho thanh tra giải phá của để nó lôi em tôi đi đâu cũng đi
tts_lines_part_06_line_00729.wav(129.80769230769232%)|lạy giời lạy phật cho chúng nó đi lấy chồng mà ngày nhị hỉ lợn quay đem về thì cụt tai để xem cái mặt lợm đời của bà cả vác lên ra làm sao|lại rồi lại phật cho chúng nó đi lấy chồng mà ngày nhị hỉ lợn quay đem về thì cụt tai để xem cái mặt lợm đời của bà cả vác lên ra làm sao 
tts_lines_part_06_line_00762.wav(106.77966101694916%)|nói đấy chứ việc ấy sở dĩ mà con biết được là vì nhà con nó đi hải phòng vừa về |nói đấy chứ việc anh sở dĩ mà con biết được là vì nhà con nó đi hải phòng vừa về
